job_title,Company_name,location,post,salary,level,experience,skills
Middle/Senior Testing Engineer,TrinTech,"Quận 1, Hồ Chí Minh",,,"Middle, Senior",,"HTML5,SQL,Tester,Automation Tester,Manual Test"
QA Tester,TIGER TRIBE,"Quận 1, Hồ Chí Minh",,,"Junior, Middle",,"SQL,QA,Tester,Automation Tester,Automation QA"
Quality Assurance (IT),Công ty TNHH chứng khoán NH Việt Nam (NHSV),"Quận Ba Đình, Hà Nội",,,"Middle, Senior",,"QA,Tester,Manual Test"
Software Tester,BSS Group,"Quận Nam Từ Liêm, Hà Nội",,,"Junior, Middle",,"Test,Manual Tester,Web Tester"
,,,,,,,
Business Analyst - Chuyên Gia Phân Tích Nghiệp Vụ Hệ Thống CLIMS,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Tester,Business Analyst,Analyst"
[Khối Ngân hàng số] QA/QC Data,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"QA,QC,SQL Server,QA/QC,Data Warehouse"
Manual Tester/QC (Middle - Senior level),EMESOFT,"Quận Tân Bình, Hồ Chí Minh",,,"Middle, Senior",,"SQL,Tester,API,Manual Tester"
[Fresher- Junior] QA Tester (English),HOIIO,"Quận 3, Hồ Chí Minh",,,"Fresher, Junior",,"QA,Tester,English"
"Junior/ Experienced/ Senior Tester (QA/QC, English required)",Ekino VietNam,"Quận 11, Hồ Chí Minh",,,"Fresher, Junior, Middle, Senior",,"Tester,English,QA/QC"
05 QA/Tester (English/Japanese),CQ TDT ASIA JSC,"Quận Cầu Giấy, Hà Nội",,,"Middle, Senior",,"QA,Tester,Manual Test"
Manual QC Engineer,Floware,"Quận Phú Nhuận, Hồ Chí Minh",,,Middle,,"Tester,QA/QC,Manual Test"
"Automation QC (Appium, Python)",Floware,"Quận Phú Nhuận, Hồ Chí Minh",,,"Middle, Senior",,"Python,Tester,Automation Tester"
QA/Manual Tester,AVEPOINT VIỆT NAM,"Quận Thanh Xuân, Hà Nội",,,All Levels,,"QA,Tester,Manual Test"
[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Tester,Database,Automation Tester,Manual Test,Mobile Tester"
SOFTWARE QA ENGINEER  (MANUAL),CYBOZU VIETNAM,"Quận Phú Nhuận, Hồ Chí Minh",,,"Junior, Middle",,"QA,Manual Test,Test"
Automation Tester,Unit Technology Corporation,"Quận 3, Hồ Chí Minh",,,"Middle, Senior",,"Automation Tester,Mobile Tester,Automation QC"
,,,,,,,
[DI6] Senior Java Developer/Squad Lead – MSB - 1Y560,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,"Trưởng Nhóm, Senior",,"Java,SQL,Java Core"
"[DI6] Solution Architect (Aws, Java)- MSB - 1Y564",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,"Junior, Senior",,"Java,Python,AWS,Business Intelligence,Solution Architect"
Mid Java Developer (MySQL/ Spring),DaouKiwoom Innovation,"Quận Bình Thạnh, Hồ Chí Minh",,,"Middle, Senior",,"Java,MySQL,Java Spring Boot"
Backend Developer,CÔNG TY TNHH ASTRA TECHNOLOGY,"Quận Nam Từ Liêm, Hà Nội",,,Senior,,"Java,MySQL,Git,Back-End,Spring"
Java Engineer (Middle and above),SoftRoad Việt Nam,"Quận Cầu Giấy, Hà Nội",,,"Trưởng Nhóm, Middle, Senior",,"Spring,Java EE,Java Core,Java Spring Boot"
,,,,,,,
[Digital Banking] Devops Engineer,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,Senior,,"Agile,Java,DevOps,AWS,Java Spring"
"Back-End Developer (Java, SQL)",LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Middle, Senior",,"Java,SQL,Spring,API,Spring Boot"
"Backend Developer (Java, Python, NodeJS)",Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Oracle,Java,Python,NodeJS,PostgreSql"
"DevOps Engineer (Linux, AWS, English)",HOIIO,"6F, 40 Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",Đăng 21 giờ trước,,"Fresher,Junior,Middle",1 năm,"Linux,System Admin,AWS"
Fresher Software Developer,LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,Fresher,,"Java,C#,Python"
Software Engineer 2,Microsoft Vietnam,"Quận 1, Hồ Chí Minh",,,"Middle, Senior",,"Java,Python,C/C++,C,Microsoft 365"
[Khối Ngân hàng số] Solution Architect,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,Senior,,"Java,Software Architect,Spring Boot,Solution Architect"
Java Developer [Middle/Senior],CÔNG TY TNHH BYTEUP TECHNOLOGY,"Quận 7, Hồ Chí Minh",,,Senior,,"Java,JavaScript,Python"
Nhân Viên Lập Trình Fullstack (2 vị trí),SmartSign,"Quận 1, Hồ Chí Minh",,,"Junior, Middle",,"Java,NodeJS,.NET"
JAVA PROJECT LEADER,Agentec Vietnam,"Quận Tân Phú, Hồ Chí Minh",,,Trưởng Nhóm,,"Java,JavaScript,Project Leader"
Fullstack Engineer  (フルスタックエンジニア),FAVOLIST5 ASIA,"Thành phố Thủ Đức, Hồ Chí Minh",,,"Middle, Senior",,"JavaScript,NodeJS,VueJS"
TRUNG TÂM ĐỔI MỚI SÁNG TẠO - TECH LEAD JAVA,Tổng Công ty Bưu điện Việt Nam (Vietnam Post),"Quận Nam Từ Liêm, Hà Nội",,,Trưởng Nhóm,,"PHP,Java,.NET"
Senior Full-stack Mobile Developer,Tinai Private Limited (Dreamerly),Remote (+1),,,Senior,,"Android,iOS,Full-Stack"
Senior Fullstack R&D Developer,Floware,"Quận Phú Nhuận, Hồ Chí Minh",,,Senior,,"PHP,JavaScript,NodeJS"
Nhân Viên Lập Trình Fullstack (2 vị trí),SmartSign,"Quận 1, Hồ Chí Minh",,,"Junior, Middle",,"Java,NodeJS,.NET"
"Full-stack, D365, NodeJs, ReactJs, .Net, Mobile",ROMULUS CONSULTANT COMPANY LIMITED,Thành phố Hồ Chí Minh (+2),,,"Junior, Middle, Senior",,"NodeJS,.NET,ReactJS"
,,,,,,,
Fullstack Developer (AI R&D Center),FPT IS,Thành phố Hà Nội (+1),,,"Junior, Middle, Senior",,"NodeJS,Full-Stack,ReactJS"
"CVC/ CVCC Fullstack Engineer (Java, Springboot) - TNEX Finance - 4B005",Tập đoàn ROX (ROX Group),"Quận Đống Đa, Hà Nội",,,Senior,,"Java,Spring,VueJS"
Fullstack Developer (Junior/Middle/Senior),Globaltech,"Quận Phú Nhuận, Hồ Chí Minh",,,"Junior, Middle, Senior",,"Python,MongoDB,.NET Core"
Full-Stack Developer [Junior/Middle],SALESCORE,"Quận Bình Thạnh, Hồ Chí Minh",,,"Junior, Middle",,"NodeJS,VueJS,.NET Core"
